%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,,,,
1.53658E+18,782,894,899,818,1023,970,843,922,1014,661,553,883,,,,
1.53658E+18,782,895,898,819,1023,970,843,922,1013,661,554,883,,,,
1.53658E+18,782,895,898,819,1023,970,842,923,1014,661,554,884,,,,
1.53658E+18,782,895,898,819,1023,971,843,922,1015,661,554,883,,,,
1.53658E+18,782,895,898,819,1023,970,842,922,1014,661,553,883,,,,
1.53658E+18,782,895,898,819,1023,971,843,923,1014,661,553,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1015,661,554,883,,,,
1.53658E+18,782,895,898,819,1023,970,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,971,843,922,1014,661,553,882,,,,
1.53658E+18,782,895,898,819,1023,970,843,923,1013,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,970,844,922,1014,661,554,883,,,,
1.53658E+18,782,895,898,818,1023,970,843,922,1014,661,554,884,,,,
1.53658E+18,782,895,898,819,1023,970,843,923,1014,661,554,883,,,,
1.53658E+18,782,895,898,819,1023,970,843,922,1014,661,554,884,,,,
1.53658E+18,782,896,898,818,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,971,843,923,1014,661,554,884,,,,
1.53658E+18,781,895,898,818,1023,970,844,923,1014,661,554,884,,,,
1.53658E+18,780,895,898,819,1023,970,843,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,899,819,1023,970,843,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1014,661,554,884,,,,
1.53658E+18,781,896,898,818,1023,970,844,923,1014,661,554,884,,,,
1.53658E+18,782,895,898,819,1023,970,843,923,1014,661,554,882,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1014,661,554,884,,,,
1.53658E+18,781,895,898,819,1023,970,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,970,843,923,1014,661,554,884,,,,
1.53658E+18,781,895,898,818,1023,970,844,923,1014,661,554,884,,,,
1.53658E+18,781,895,899,819,1023,971,843,923,1014,661,555,883,,,,
1.53658E+18,781,896,898,819,1023,970,843,922,1014,661,555,884,,,,
1.53658E+18,781,895,898,819,1023,969,843,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,969,843,922,1013,661,554,884,,,,
1.53658E+18,781,895,898,819,1023,970,843,922,1014,661,555,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,922,1014,661,555,884,,,,
1.53658E+18,781,895,898,818,1023,970,842,923,1014,661,555,883,,,,
1.53658E+18,781,895,897,818,1023,970,843,923,1014,661,555,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1013,661,556,884,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1014,661,556,884,,,,
